Paso,Descripción
Eliminación de duplicados,Se eliminaron registros duplicados.
Conversión de fechas,Conversión de last_login_date a datetime.
Normalización de variables categóricas,"Normalización de plan, país y género."
Corrección de edades,Edades fuera de rango reemplazadas por NaN e imputadas con la mediana.
Corrección de tiempos de visualización,Valores inválidos reemplazados por NaN e imputados con la mediana.
Corrección de tickets de soporte,Tickets inconsistentes reemplazados por NaN e imputados con la mediana.
Imputación de variables numéricas,Imputación mediante mediana en variables numéricas.
Imputación de variables categóricas,Imputación mediante moda en favorite_genre.
